issue_id,category,severity,report_month,project_id,project_name,column_name,observed_value,description,recommended_action_for_review
DQ-NEG-EXP-2026-01-619113,NEGATIVE_EXPENDITURE,HIGH,2026-01,619113,4L of Padalur - Trichy section from km. 285.00 to km. 325.00 of NH - 45 Pkg VI-C,cumulative_expenditure,-0.08,Negative cumulative expenditure of ₹-0.08 Cr reported in official MoSPI report (likely credit/debit adjustment or accounting reversal).,Review accounting reversal. Decide whether to clamp to 0.0 or treat as an expenditure adjustment signal.
DQ-LOW-COST-2026-01-618886,UNUSUAL_COST_LOW,MEDIUM,2026-01,618886,Road Safety Improvement of Critical Junctions on MuzaffarnagarHaridwar Section of NH-334 from Km 143000 to Km 196000,revised_cost,0.1,Revised cost reported as ₹0.1 Cr while original cost was ₹238.66 Cr (placeholder value in government portal).,Check whether revised_cost was erroneously entered as 0.1 Cr instead of original budget.
DQ-LOW-COST-2026-02-618886,UNUSUAL_COST_LOW,MEDIUM,2026-02,618886,Road Safety Improvement of Critical Junctions on MuzaffarnagarHaridwar Section of NH-334 from Km 143000 to Km 196000,revised_cost,0.1,Revised cost reported as ₹0.1 Cr while original cost was ₹238.66 Cr (placeholder value in government portal).,Check whether revised_cost was erroneously entered as 0.1 Cr instead of original budget.
DQ-LOW-COST-2026-03-618886,UNUSUAL_COST_LOW,MEDIUM,2026-03,618886,Road Safety Improvement of Critical Junctions on MuzaffarnagarHaridwar Section of NH-334 from Km 143000 to Km 196000,revised_cost,0.1,Revised cost reported as ₹0.1 Cr while original cost was ₹238.66 Cr (placeholder value in government portal).,Check whether revised_cost was erroneously entered as 0.1 Cr instead of original budget.
DQ-LOW-COST-2026-04-618886,UNUSUAL_COST_LOW,MEDIUM,2026-04,618886,Road Safety Improvement of Critical Junctions on MuzaffarnagarHaridwar Section of NH-334 from Km 143000 to Km 196000,revised_cost,0.1,Revised cost reported as ₹0.1 Cr while original cost was ₹238.66 Cr (placeholder value in government portal).,Check whether revised_cost was erroneously entered as 0.1 Cr instead of original budget.
DQ-LOW-COST-2026-05-618886,UNUSUAL_COST_LOW,MEDIUM,2026-05,618886,Road Safety Improvement of Critical Junctions on MuzaffarnagarHaridwar Section of NH-334 from Km 143000 to Km 196000,revised_cost,0.1,Revised cost reported as ₹0.1 Cr while original cost was ₹238.66 Cr (placeholder value in government portal).,Check whether revised_cost was erroneously entered as 0.1 Cr instead of original budget.
DQ-LOW-COST-2026-06-618886,UNUSUAL_COST_LOW,MEDIUM,2026-06,618886,Road Safety Improvement of Critical Junctions on MuzaffarnagarHaridwar Section of NH-334 from Km 143000 to Km 196000,revised_cost,0.1,Revised cost reported as ₹0.1 Cr while original cost was ₹238.66 Cr (placeholder value in government portal).,Check whether revised_cost was erroneously entered as 0.1 Cr instead of original budget.
DQ-LOW-COST-2026-07-618886,UNUSUAL_COST_LOW,MEDIUM,2026-07,618886,Road Safety Improvement of Critical Junctions on MuzaffarnagarHaridwar Section of NH-334 from Km 143000 to Km 196000,revised_cost,0.1,Revised cost reported as ₹0.1 Cr while original cost was ₹238.66 Cr (placeholder value in government portal).,Check whether revised_cost was erroneously entered as 0.1 Cr instead of original budget.
DQ-HIGH-COST-702668,UNUSUAL_COST_MEGA,INFO,MULTI,702668,Chennai Metro Rail Phase-II Development Project,original_cost,₹63246.0 Cr (Rev: ₹63246.0 Cr),"Mega-infrastructure project with budget exceeding ₹50,000 Cr (e.g. Mumbai-Ahmedabad High Speed Rail). Valid national mega-project.",Valid record. Requires robust scaling or log transformation in ML pipelines.
DQ-HIGH-COST-705728,UNUSUAL_COST_MEGA,INFO,MULTI,705728,Mumbai-Ahmedabad High Speed Rail Project- 508 km,original_cost,₹108000.0 Cr (Rev: ₹108000.0 Cr),"Mega-infrastructure project with budget exceeding ₹50,000 Cr (e.g. Mumbai-Ahmedabad High Speed Rail). Valid national mega-project.",Valid record. Requires robust scaling or log transformation in ML pipelines.
DQ-HIGH-COST-705237,UNUSUAL_COST_MEGA,INFO,MULTI,705237,Western Dedicated Freight Corridor,original_cost,₹51101.0 Cr (Rev: ₹124005.0 Cr),"Mega-infrastructure project with budget exceeding ₹50,000 Cr (e.g. Mumbai-Ahmedabad High Speed Rail). Valid national mega-project.",Valid record. Requires robust scaling or log transformation in ML pipelines.
DQ-HIGH-COST-706775,UNUSUAL_COST_MEGA,INFO,MULTI,706775,BharatNet,original_cost,₹61109.0 Cr (Rev: ₹188000.0 Cr),"Mega-infrastructure project with budget exceeding ₹50,000 Cr (e.g. Mumbai-Ahmedabad High Speed Rail). Valid national mega-project.",Valid record. Requires robust scaling or log transformation in ML pipelines.
DQ-PROG-RANGE,RANGE_VALIDATION,INFO,ALL,ALL,All projects,physical_progress_pct,0.0 to 100.0,"All physical progress percentage values fall strictly within the valid range [0.0%, 100.0%].",No action needed.
DQ-DATE-INVERT-2025-12-705482,INVALID_DATE_SEQUENCE,HIGH,2025-12,705482,Dholpur - Sirmuttra Gauge Conversion,original_doc vs start_date,Start: 2020-04 > Orig DoC: 2019-02,Target completion date is earlier than reported project start date.,Flag for review. Project may have been re-awarded or date entered inconsistently.
DQ-NAME-MUTATION,NAME_MUTATION,LOW,MULTI,174 projects,174 projects have minor wording variations across months,project_name,174 projects with >1 distinct name string,174 projects experience minor textual edits or punctuation variations in project description across monthly reports.,Use project_id as the immutable primary key rather than project_name.
DQ-T3-T6-MATCHING,CROSS_TABLE_LINKAGE,INFO,ALL,TABLE_3_TOTAL,Table 3 Completed Projects,project_id,Matched: 217 / 234 (92.7%),"217 out of 234 completed projects match Table 6. All 17 unmatched completed projects occurred in Dec 2025 (the initial portfolio month). For Jan-Jul 2026, 100% of completed projects match earlier Table 6 records.",Excellent longitudinal coverage. Table 3 outcomes can be linked directly to historical Table 6 monitoring snapshots for Jan-Jul 2026.
